Pokemon,Fast Move,Charged Move,DPS,TDO,DPS^3*TDO,CP
Black Kyurem,Dragon Tail,Outrage,20.266,724,6026.188067,4605
Mewtwo,Confusion,Psystrike,20.918,654.9,5994.258481,4178
Mewtwo,Psycho Cut,Psystrike,20.884,653.8,5955.057646,4178
Black Kyurem,Dragon Tail,Blizzard,19.527,697.6,5194.132818,4605
Black Kyurem,Shadow Claw,Outrage,19.14,683.8,4794.627774,4605
Mewtwo,Confusion,Psychic,19.487,610.1,4514.773637,4178
White Kyurem,Dragon Breath,Blizzard,18.793,671.4,4456.251344,4605
Mewtwo,Psycho Cut,Psychic,19.193,600.9,4248.452764,4178
Regigigas,Zen Headbutt,Giga Impact,17.964,659.2,3821.433776,4337
White Kyurem,Dragon Breath,Dragon Pulse,17.949,641.2,3707.782808,4605
Reshiram,Fire Fang,Overheat,18.075,623.7,3683.075842,4038
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Regigigas,Hidden Power,Giga Impact,17.768,652,3657.322286,4337
Black Kyurem,Shadow Claw,Blizzard,17.844,637.5,3622.069947,4605
Metagross,Bullet Punch,Meteor Mash,17.983,621.7,3615.491128,3791
Zekrom,Dragon Breath,Wild Charge,17.975,620.2,3601.956462,4038
Rayquaza,Dragon Tail,Outrage,18.68,546.8,3564.175837,3835
Reshiram,Fire Fang,Draco Meteor,17.923,618.4,3560.422979,4038
White Kyurem,Steel Wing,Blizzard,17.761,634.5,3554.953049,4605
Mewtwo,Confusion,Shadow Ball,18.068,565.7,3336.694338,4178
Salamence,Dragon Tail,Outrage,18.271,536,3269.277176,3749
Black Kyurem,Dragon Tail,Stone Edge,17.354,620,3240.339156,4605
Zekrom,Charge Beam,Wild Charge,17.462,602.5,3208.034299,4038
Garchomp,Dragon Tail,Outrage,17.19,630.3,3201.657988,3962
Metagross,Zen Headbutt,Meteor Mash,17.437,602.8,3195.865889,3791
White Kyurem,Steel Wing,Dragon Pulse,17.293,617.8,3194.912205,4605
Zekrom,Dragon Breath,Outrage,17.419,601,3176.465403,4038
White Kyurem,Dragon Breath,Focus Blast,17.241,616,3156.952647,4605
Dialga,Metal Claw,Draco Meteor,17.36,599,3133.833977,4038
Black Kyurem,Dragon Tail,Iron Head,17.154,612.8,3093.24966,4605
Reshiram,Dragon Breath,Overheat,17.261,595.6,3063.039143,4038
Salamence,Dragon Tail,Draco Meteor,17.931,526,3032.489291,3749
Mewtwo,Psycho Cut,Shadow Ball,17.529,548.8,2955.871334,4178
Rayquaza,Air Slash,Outrage,17.809,521.3,2944.464527,3835
Dialga,Dragon Breath,Draco Meteor,17.09,589.7,2943.454426,4038
Reshiram,Dragon Breath,Draco Meteor,17.09,589.7,2943.454426,4038
Dragonite,Dragon Tail,Outrage,17.229,570.5,2917.66793,3792
Palkia,Dragon Tail,Hydro Pump,17.301,563.4,2917.631647,3991
Palkia,Dragon Breath,Draco Meteor,17.29,563,2910.002584,3991
Zekrom,Charge Beam,Outrage,16.863,581.8,2789.833192,4038
Dragonite,Dragon Tail,Draco Meteor,17.008,563.2,2770.909794,3792
Latios,Dragon Breath,Psychic,17.077,551.5,2746.504102,3812
Moltres,Fire Spin,Sky Attack,17.361,524.2,2742.971075,3465
Meloetta (Pirouette Forme),Quick Attack,Hyper Beam,16.854,569.9,2728.397392,3915
Salamence,Fire Fang,Outrage,17.458,512.1,2724.822666,3749
Landorus (Therian Forme),Mud Shot,Earth Power,17.32,513,2665.391621,3922
Chandelure,Fire Spin,Shadow Ball,18.372,427,2647.873208,3268
Giratina (Origin Forme),Dragon Tail,Shadow Ball,15.84,663.9,2638.567449,3683
Dragonite,Dragon Breath,Outrage,16.795,556.1,2634.467951,3792
