Pokemon,Fast Move,Charged Move,DPS,TDO,DPS^3*TDO,CP
Mewtwo,Confusion,Psystrike,20.918,654.9,5994.3,4178
Mewtwo,Psycho Cut,Psystrike,20.884,653.8,5955.4,4178
Mewtwo,Confusion,Psychic,19.487,610.1,4514.4,4178
Mewtwo,Psycho Cut,Psychic,19.193,600.9,4248.4,4178
Metagross,Bullet Punch,Meteor Mash,17.983,621.7,3615.5,3791
Rayquaza,Dragon Tail,Outrage,18.68,546.8,3564.4,3835
Palkia,Dragon Tail,Draco Meteor,17.91,583.2,3350.3,3991
Mewtwo,Confusion,Shadow Ball,18.068,565.7,3336.3,4178
Salamence,Dragon Tail,Outrage,18.271,536,3269.2,3749
Garchomp,Dragon Tail,Outrage,17.19,630.3,3201.8,3962
Metagross,Zen Headbutt,Meteor Mash,17.437,602.8,3195.7,3791
Dialga,Metal Claw,Draco Meteor,17.36,599,3134.1,4038
Salamence,Dragon Tail,Draco Meteor,17.931,526,3032.4,3749
Mewtwo,Psycho Cut,Shadow Ball,17.529,548.8,2955.7,4178
Rayquaza,Air Slash,Outrage,17.809,521.3,2944.2,3835
Dialga,Dragon Breath,Draco Meteor,17.09,589.7,2943.7,4038
Dragonite,Dragon Tail,Outrage,17.229,570.5,2917.6,3792
Palkia,Dragon Tail,Hydro Pump,17.301,563.4,2917.6,3991
Palkia,Dragon Breath,Draco Meteor,17.29,563,2909.7,3991
Dragonite,Dragon Tail,Draco Meteor,17.008,563.2,2770.9,3792
Latios,Dragon Breath,Psychic,17.077,551.5,2746.2,3812
Moltres,Fire Spin,Sky Attack,17.361,524.2,2742.9,3465
Salamence,Fire Fang,Outrage,17.458,512.1,2724.8,3749
Kyogre,Waterfall,Surf,16.447,610.2,2714.9,4115
Garchomp,Dragon Tail,Earthquake,16.495,604.8,2714.4,3962
Chandelure,Fire Spin,Shadow Ball,18.372,427,2647.6,3268
Giratina (Origin Forme),Dragon Tail,Shadow Ball,15.84,663.9,2638.6,3683
Dragonite,Dragon Breath,Outrage,16.795,556.1,2634.6,3792
Giratina (Origin Forme),Shadow Claw,Shadow Ball,15.814,662.8,2621.4,3683
Mewtwo,Confusion,Thunderbolt,16.994,532,2610.8,4178
Garchomp,Mud Shot,Outrage,16.303,597.7,2589.8,3962
Mewtwo,Confusion,Hyper Beam,16.877,528.4,2540,4178
Palkia,Dragon Breath,Hydro Pump,16.673,542.9,2516.1,3991
Moltres,Wing Attack,Sky Attack,16.969,512.4,2503.9,3465
Lucario,Counter,Aura Sphere,18.621,384.2,2480.6,2703
Darkrai,Snarl,Shadow Ball,17.281,477.7,2465.3,3739
Mewtwo,Confusion,Focus Blast,16.705,523,2438,4178
Dragonite,Dragon Breath,Draco Meteor,16.453,544.8,2426.4,3792
Dragonite,Dragon Tail,Dragon Claw,16.444,544.5,2421.1,3792
Latios,Zen Headbutt,Psychic,16.546,534.3,2420.7,3812
Salamence,Bite,Outrage,16.938,496.9,2414.9,3749
Metagross,Bullet Punch,Psychic,16.208,560.3,2385.9,3791
Kyogre,Waterfall,Hydro Pump,15.91,590.3,2377.2,4115
Mewtwo,Confusion,Flamethrower,16.528,517.4,2336.2,4178
Rampardos,Smack Down,Rock Slide,18.413,370.8,2314.5,3298
Salamence,Fire Fang,Draco Meteor,16.72,490.5,2292.9,3749
Dragonite,Steel Wing,Outrage,16.171,535.4,2264.1,3792
Mamoswine,Mud Slap,Avalanche,16.743,480.8,2256.5,3328
Dialga,Metal Claw,Iron Head,15.968,551,2243.1,4038
Darkrai,Snarl,Dark Pulse,16.803,464.5,2203.3,3739
Mewtwo,Confusion,Ice Beam,16.279,509.6,2198.4,4178
Dialga,Dragon Breath,Iron Head,15.879,547.9,2193.6,4038
Chandelure,Hex,Shadow Ball,17.525,407.3,2192.4,3268
Raikou,Thunder Shock,Wild Charge,16.133,522,2191.8,3452
Metagross,Zen Headbutt,Psychic,15.852,548,2182.7,3791
Lucario,Bullet Punch,Aura Sphere,18.029,372,2179.9,2703
Entei,Fire Fang,Overheat,15.873,545,2179.5,3473
Dragonite,Dragon Tail,Return,16.004,529.9,2172,3792
Latios,Dragon Breath,Dragon Claw,16.102,520,2170.7,3812
Darkrai,Feint Attack,Shadow Ball,16.714,462,2157.3,3739
Moltres,Ember,Sky Attack,16.347,493.6,2156.2,3465
Mewtwo,Psycho Cut,Thunderbolt,16.177,506.4,2143.8,4178
Dragonite,Dragon Breath,Dragon Claw,15.919,527.1,2126.6,3792
Dragonite,Dragon Tail,Hurricane,15.916,527,2124.5,3792
Moltres,Fire Spin,Overheat,16.273,491.4,2117.7,3465
Honchkrow,Snarl,Sky Attack,18.098,355.7,2108.5,2711
Rayquaza,Dragon Tail,Aerial Ace,16.373,479.3,2103.4,3835
Mewtwo,Psycho Cut,Hyper Beam,16.071,503.1,2088.3,4178
Blaziken,Counter,Blast Burn,17.505,388.5,2083.8,2848
Gengar,Lick,Shadow Ball,18.109,350.4,2080.9,2878
Groudon,Dragon Tail,Earthquake,15.382,570.7,2077.1,4115
Groudon,Mud Shot,Earthquake,15.356,569.7,2062.8,4115
